VehId,Timestamp(ms),Vehicle Speed[km/h],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Energy_Consumption
10.0,0.0,53.5900001526,-21.5,96.341468811,386.0,0.0023052777777777
10.0,200.0,51.9799995422,-21.5,96.341468811,386.0,0.0023052777777777
10.0,1200.0,50.3699989319,-21.5,96.341468811,386.0,0.0023052777777777
10.0,1500.0,50.3699989319,23.5,96.341468811,390.5,-0.0025490972222222
10.0,2300.0,49.7999992371,23.5,96.341468811,390.5,-0.0025490972222222
